 Country,Capital,Population
 China,Beijing,"21,542,000"
 India,New Delhi,"14,200,004"
 Japan,Tokyo,"13,929,286"
 DR Congo,Kinshasa,"12,691,000"
 Russia,Moscow,"12,506,468"
 Indonesia,Jakarta,"10,075,310"
 South Korea,Seoul,"9,838,892"
 Egypt,Cairo,"9,848,576"
 Mexico,Mexico City,"8,918,653"
 United Kingdom,London,"8,908,081"
 Bangladesh,Dhaka,"8,906,039"
 Peru,Lima,"8,852,000"
 Iran,Tehran,"8,693,706"
 Thailand,Bangkok,"8,305,218"
 Vietnam,Hanoi,"8,053,663"
 Saudi Arabia,Riyadh,"7,676,654"
 Hong Kong,Hong Kong,"7,482,500"
 Colombia,Bogota,"7,181,469"
 Iraq,Baghdad,"6,719,500"
 Chile,Santiago,"6,310,000"
