date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Jan-20,0,0.1,0,9.3,0,0.2, , 
02-Jan-20,0,2.1,0,11.9,0,6.6, , 
03-Jan-20,0,1,0,8.6,0,5.1, , 
04-Jan-20,0,0.4,0,9.8,0,5.6, , 
05-Jan-20,0,0.5,0,12.6,0,7.3, , 
06-Jan-20,0,3.6,0,12.4,0,8.4, , 
07-Jan-20,0,3.6,0,14.2,0,5.7, , 
08-Jan-20,0,0.5,0,7.4,0,5.3, , 
09-Jan-20,0,0.8,0,6.3,0,2, , 
10-Jan-20,0,14,0,12.8,0,2, , 
11-Jan-20,0,7.1,0,9.9,0,3, , 
12-Jan-20,0,0.1,0,8.1,0,4.6, , 
13-Jan-20,0,9.2,0,8.7,0,4, , 
14-Jan-20,0,5.2,0,5.4,0,2.3, , 
15-Jan-20,0,2,0,9.6,0,2.6, , 
16-Jan-20,0,2.3,0,10.6,0,3.3, , 
17-Jan-20,0,2.2,0,6.8,0,2.6, , 
18-Jan-20,0,0,0,6.7,0,0.3, , 
19-Jan-20,0,0.1,0,8.4,0,0.4, , 
20-Jan-20,0,0.2,0,10.6,0,2.6, , 
21-Jan-20,0,0.3,0,9.8,0,7, , 
22-Jan-20,0,0.1,0,9.8,0,8, , 
23-Jan-20,0,0,0,9.6,0,5.6, , 
24-Jan-20,0,0,0,9.6,0,7, , 
25-Jan-20,0,6.1,0,8.9,0,6.2, , 
26-Jan-20,0,2.5,0,6.7,0,4, , 
27-Jan-20,0,6.7,0,4,0,1.6, , 
28-Jan-20,0,14,0,7.1,0,0.5, , 
29-Jan-20,0,0.4,0,10,0,2.5, , 
30-Jan-20,0,1.6,0,11,0,6.9, , 
31-Jan-20,0,1.5,0,12.2,0,7.1, , 
01-Feb-20,0,1.9,0,9.7,0,7.3, , 
02-Feb-20,0,3.7,0,11.9,0,4.6, , 
03-Feb-20,0,4.3,0,7.3,0,4.3, , 
04-Feb-20,4,0,0,9.1,0,3.4, , 
05-Feb-20,0,0,0,9.6,0,1.8, , 
06-Feb-20,0,0,0,9.7,0,3.3, , 
07-Feb-20,0,5.6,0,9.9,0,3.8, , 
08-Feb-20,0,39.2,0,11.1,0,3.4, , 
09-Feb-20,0,8.5,0,11.1,0,4.9, , 
10-Feb-20,0,4.3,0,6.3,0,1.8, , 
11-Feb-20,0,7.2,0,5.4,0,1.7, , 
12-Feb-20,0,9.8,0,7.1,0,1, , 
13-Feb-20,0,2.2,0,9.6,0,2.1, , 
14-Feb-20,0,3.9,0,10.7,0,2.2, , 
15-Feb-20,0,16.9,0,9.8,0,4.4, , 
16-Feb-20,0,6.2,0,7.4,0,2.4, , 
17-Feb-20,0,7.4,0,7.1,0,2.8, , 
18-Feb-20,0,5,0,6.5,0,2.5, , 
19-Feb-20,0,23,0,10.2,0,3.1, , 
20-Feb-20,0,11.2,0,9,0,2.7, , 
21-Feb-20,0,7.2,0,11.8,0,2.5, , 
22-Feb-20,0,19.7,0,6.8,0,3, , 
23-Feb-20,0,16.9,0,7.4,0,3.3, , 
24-Feb-20,0,9.1,0,7.1,0,0.6, , 
25-Feb-20,0,9.4,0,4.6,0,1.3, , 
26-Feb-20,0,7.5,0,5.4,0,1.4, , 
27-Feb-20,0,4,0,6.8,0,0.4, , 
28-Feb-20,0,4.2,0,11.6,0,3.1, , 
29-Feb-20,0,8.5,0,7.5,0,1.1, , 
01-Mar-20,0,7.4,0,6.7,0,1.5, , 
02-Mar-20,0,9.4,0,6.1,0,0.8, , 
03-Mar-20,0,0.2,0,7.9,0,1.9, , 
04-Mar-20,0,0,0,8.4,0,0.7, , 
05-Mar-20,0,0.4,0,7.8,0,0.6, , 
06-Mar-20,0,1.4,0,10.6,0,1.9, , 
07-Mar-20,0,6.8,0,11.6,0,3.2, , 
08-Mar-20,0,8.7,0,9.2,0,4.9, , 
09-Mar-20,0,9.2,0,11,0,5.3, , 
10-Mar-20,0,4.4,0,10.2,0,5.5, , 
11-Mar-20,0,11.8,0,8.1,0,4.1, , 
12-Mar-20,0,2.2,0,7.6,0,1, , 
13-Mar-20,0,0.1,0,10.1,0,3.3, , 
14-Mar-20,0,3,0,10.8,0,5.1, , 
15-Mar-20,0,0.2,0,8.9,0,5.9, , 
16-Mar-20,0,4.5,0,9.6,0,0.2, , 
17-Mar-20,0,13,0,8.7,0,5.1, , 
18-Mar-20,0,1.5,0,7.6,0,2.6, , 
19-Mar-20,0,0.1,0,8.9,0,1.1, , 
20-Mar-20,0,0,0,10.2,1,-2.4, , 
21-Mar-20,0,1.5,0,7,0,1.6, , 
22-Mar-20,4,0,0,11.2,0,4, , 
23-Mar-20,0,0.1,0,10.4,0,6, , 
24-Mar-20,4,0,0,12.6,0,6.7, , 
25-Mar-20,0,2.1,0,11.3,0,7.6, , 
